Vertexattribute:,
character,ganzer Name von Person/Staffel/Sendung/Sendergruppe
id,festgelegte Abkürzung (Initialen oder Code)
type,"1 = Person, 2 = Staffel, 3 = Sendung , 4= Sendergruppe"
sex,"1 = female, 2 = male"
age,Alter in Jahren (jetziger Stand)
,
,
Edgeattribute:,
Relation,"1 = hat teilgenommen (zwischen Person und Staffel), 2 = Ist Teil von (Staffel gehört zu Sendung), 3 = gehört zu (Sendung gehört zu Sendergruppe)"
year,Jahr der Teilnahme
,
,
Rechtschreibung:,
außer Character alles klein.,
